"","metrics_list","SS","F.stat","p","p_adj","Sex"
"55","WMTI_axead_lh",155250.725002768,2992.40174902128,0,0,"Male"
"56","WMTI_axead_rh",6262.81754148169,104.77018215931,1.58976617305738e-24,9.85655027295577e-23,"Male"
"57","T1_lh_thickness",7520.80661187996,125.955446979856,3.88941333708566e-29,2.41143626899311e-27,"Male"
"58","T1_rh_thickness",185249.131893635,3683.47201077719,0,0,"Male"
"59","T1_lh_area",175620.756914076,3456.95117904739,0,0,"Male"
"60","T1_rh_area",73763.018466563,1312.51414125035,6.65152843741923e-278,4.12394763119992e-276,"Male"
"61","T1_lh_volume",64374.2670079735,1135.40244614686,9.32126969850041e-242,5.77918721307026e-240,"Male"
"62","T1_rh_volume",190940.100670667,3819.53412028152,0,0,"Male"
"63","BRIA_vintra_lh",168107.866010218,3552.92745736228,0,0,"Female"
"64","BRIA_vintra_rh",23525.9537855431,433.05941233594,3.33513520001787e-95,2.06778382401108e-93,"Female"
"65","BRIA_vextra_lh",19887.1205732678,364.891770790129,1.20489580430021e-80,7.47035398666133e-79,"Female"
"66","BRIA_vextra_rh",31839.2023173608,590.468240250571,1.27108112398887e-128,7.88070296873099e-127,"Female"
"67","BRIA_vcsf_lh",22203.1048946034,408.226822251858,6.60962204005656e-90,4.09796566483507e-88,"Female"
"68","BRIA_vcsf_rh",3.97335396078415,0.0716366139588005,0.788971284822164,48.9162196589742,"Female"
"69","BRIA_micrord_lh",0.342465046560392,0.00617437024613023,0.937369716400485,58.1169224168301,"Female"
"70","BRIA_micrord_rh",167326.76663037,3533.5908997828,0,0,"Female"
"71","BRIA_microfa_lh",164803.74311083,3471.34277258449,0,0,"Female"
"72","BRIA_microfa_rh",14282.3712826842,260.754950930801,2.67670781454978e-58,1.65955884502087e-56,"Female"
"73","BRIA_microax_lh",13455.9129918315,245.486620313431,5.19666764345685e-55,3.22193393894325e-53,"Female"
"74","BRIA_microax_rh",5194.33643151959,94.076837442875,3.38534974222926e-22,2.09891684018214e-20,"Female"
"75","BRIA_microadc_lh",5602.91380957421,101.513175728941,8.05978358548755e-24,4.99706582300228e-22,"Female"
"76","BRIA_microadc_rh",76686.1739516901,1481.92537000525,3.71457813934744e-313,2.30303844639542e-311,"Female"
"77","BRIA_dradextra_lh",79463.1669961032,1539.59516907782,0,0,"Female"
"78","BRIA_dradextra_rh",8824.87028316176,160.342139655437,1.3037908639463e-36,8.08350335646704e-35,"Female"
"79","BRIA_daxintra_lh",8404.56390275271,152.648929095501,6.07647992114608e-35,3.76741755111057e-33,"Female"
"80","BRIA_daxintra_rh",6250.15140263573,113.304195705873,2.16714147185182e-26,1.34362771254813e-24,"Female"
"81","BRIA_daxextra_lh",5913.05166823207,107.161423925229,4.72619278806245e-25,2.93023952859872e-23,"Female"
"82","BRIA_daxextra_rh",10070.586763547,183.177004489793,1.4766745089209e-41,9.15538195530959e-40,"Female"
"83","DKI_AK_lh",9832.15574201732,178.802513554656,1.3064030464684e-40,8.09969888810409e-39,"Female"
"84","DKI_AK_rh",34679.5502867289,644.790086397028,4.29320431623172e-140,2.66178667606366e-138,"Female"
"85","DKI_RK_lh",41728.6707798911,780.814499585584,1.10144027017116e-168,6.82892967506119e-167,"Female"
"86","DKI_RK_rh",111624.125644532,2230.08368457039,0,0,"Female"
"87","DKI_MK_lh",99929.9587988212,1974.09100245402,0,0,"Female"
"88","DKI_MK_rh",71843.5366437512,1382.07303813524,7.22959376982068e-293,4.48234813728882e-291,"Female"
"89","DTI_AD_lh",64723.6178659494,1236.89165818107,3.35422551826433e-263,2.07961982132389e-261,"Female"
"90","DTI_AD_rh",2907.32404011558,52.5502516210276,4.34176677060854e-13,2.69189539777729e-11,"Female"
"91","DTI_RD_lh",293.657140274299,5.29576058519142,0.021387314260986,1.32601348418113,"Female"
"92","DTI_RD_rh",196938.845097297,4288.9702347639,0,0,"Female"
"93","DTI_MD_lh",194515.862738087,4225.3921257937,0,0,"Female"
"94","DTI_MD_rh",188515.02754962,4069.32071674249,0,0,"Female"
"95","DTI_FA_lh",189775.114555138,4101.93059941633,0,0,"Female"
"96","DTI_FA_rh",71118.8333000168,1367.20762042012,7.71980276365769e-290,4.78627771346777e-288,"Female"
"97","SMT_FA_lh",68022.9179450583,1303.92839923701,6.34650893741858e-277,3.93483554119952e-275,"Female"
"98","SMT_FA_rh",60547.9605258612,1152.63400641605,6.83280957191678e-246,4.2363419345884e-244,"Female"
"99","SMT_MD_lh",54188.0172880881,1025.54178722025,1.18121174190658e-219,7.32351279982081e-218,"Female"
"100","SMT_MD_rh",143341.167550102,2954.50953300631,0,0,"Female"
"101","SMT_trans_lh",143245.800620134,2952.26250210325,0,0,"Female"
"102","SMT_trans_rh",148786.161742881,3083.51841101054,0,0,"Female"
